2025-07-19 11:49:49 - GET /docs | Status: 200 | Success: True | Took: 0.0095s
[2025-07-26 12:29:09] DELETE /pokemon/1 | 👤 InvalidToken | 📍 testclient | Status: 403 | ⏱️ 0.0106s
[2025-07-26 12:36:12] POST /auth/login | 👤 Unknown | 📍 127.0.0.1 | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:40:22] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:40:22] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0529s
[2025-07-26 12:40:22] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:40:22] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0005s
[2025-07-26 12:40:22] POST /pokemon/ | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0098s
[2025-07-26 12:42:32] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:42:32] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0327s
[2025-07-26 12:42:32] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:42:32] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.001s
[2025-07-26 12:42:32] POST /pokemon/ | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0538s
[2025-07-26 12:43:43] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:43:43] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0443s
[2025-07-26 12:43:43] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:43:43] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.001s
[2025-07-26 12:43:43] POST /pokemon/ | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.032s
[2025-07-26 12:54:42] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:54:42] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0342s
[2025-07-26 12:54:42] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.001s
[2025-07-26 12:54:42] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:54:42] POST /pokemon/ | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0312s
[2025-07-26 12:54:42] GET /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:54:42] GET /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:54:42] GET /pokemon/ | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0156s
[2025-07-26 12:56:46] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:56:46] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0312s
[2025-07-26 12:56:46] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:56:46] POST /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:56:46] POST /pokemon/ | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0156s
[2025-07-26 12:56:46] GET /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:56:46] GET /pokemon | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:56:46] GET /pokemon/ | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0156s
[2025-07-26 12:56:46] DELETE /pokemon/1 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:56:46] DELETE /pokemon/1 | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0s
[2025-07-26 12:56:46] DELETE /pokemon/2 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:56:46] DELETE /pokemon/2 | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0156s
[2025-07-26 12:56:46] DELETE /pokemon/3 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 12:56:46] DELETE /pokemon/3 | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0156s
[2025-07-26 12:56:46] DELETE /pokemon/4 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
