[2025-07-26 23:49:26,774] [ERROR] GET /gallery → 401: Not authenticated
[2025-07-26 23:49:27,208] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:49:27,208] [ERROR] POST /upload/secure-image → 403: Forbidden: You are not authorized
[2025-07-26 23:49:27,223] [ERROR] GET /does-not-exist → 404: Not Found
[2025-07-26 23:52:28,727] [ERROR] GET /gallery → 401: Not authenticated
[2025-07-26 23:52:28,799] [ERROR] 🚫 Forbidden: 'ashketchum' lacks 'admin' role
[2025-07-26 23:52:28,800] [ERROR] POST /upload/secure-image → 403: Forbidden: You are not authorized
[2025-07-26 23:52:28,815] [ERROR] GET /does-not-exist → 404: Not Found
[2025-07-26 23:53:56,574] [ERROR] GET /download/pokedex.csv → 404: Not Found
[2025-07-26 23:53:56,809] [ERROR] GET /download/logs → 404: Not Found
[2025-07-26 23:53:56,852] [ERROR] GET /download/image/test_img.png → 404: Not Found
[2025-07-26 23:53:56,884] [ERROR] GET /download/image/fake.png → 404: Not Found
[2025-07-26 23:55:24,319] [ERROR] GET /download/pokedex.csv → 404: Not Found
[2025-07-26 23:55:24,602] [ERROR] GET /download/logs → 404: Not Found
[2025-07-26 23:55:24,678] [ERROR] GET /download/image/test_img.png → 404: Not Found
[2025-07-26 23:55:24,740] [ERROR] GET /download/image/fake.png → 404: Not Found
[2025-07-27 00:48:23,260] [ERROR] GET /download/file/pokedex.csv → 404: Not Found
[2025-07-27 00:48:23,568] [ERROR] GET /download/file/main.log → 404: Not Found
[2025-07-27 00:48:23,626] [ERROR] GET /download/image/test_img.png → 404: Not Found
[2025-07-27 00:48:23,670] [ERROR] GET /download/image/doesnotexist.png → 404: Not Found
[2025-07-27 00:49:45,305] [ERROR] GET /download/pokedex.csv → 404: Not Found
[2025-07-27 00:49:45,722] [ERROR] GET /download/main.log → 404: Not Found
[2025-07-27 00:49:45,767] [ERROR] GET /download/image/test_img.png → 404: Not Found
[2025-07-27 00:49:45,825] [ERROR] GET /download/image/fake.png → 404: Not Found
[2025-07-27 01:02:50,916] [ERROR] GET /download/log → 404: File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:02:51,371] [ERROR] GET /uploads/images/does_not_exist.png → 404: Not Found
[2025-07-27 01:05:31,150] [ERROR] GET /download/log → 404: File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:05:31,552] [ERROR] GET /uploads/images/does_not_exist.png → 404: Not Found
[2025-07-27 01:05:31,606] [ERROR] GET /download/log → 404: File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:13:10,990] [ERROR] GET /download/log → 404: File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:13:11,369] [ERROR] ❌ Error downloading image 'does_not_exist.png': 404: File not found: C:\Users\user\Documents\fastapi_project\uploads\images\does_not_exist.png
[2025-07-27 01:13:11,369] [ERROR] GET /download/image/does_not_exist.png → 500: Error downloading image.
[2025-07-27 01:13:11,434] [ERROR] GET /download/log → 404: File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:16:28,777] [ERROR] ❌ Unexpected error downloading file 'log': 404: File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:16:28,777] [ERROR] GET /download/log → 500: Error downloading file.
[2025-07-27 01:16:29,142] [ERROR] ❌ Error downloading image 'does_not_exist.png': 404: File not found: C:\Users\user\Documents\fastapi_project\uploads\images\does_not_exist.png
[2025-07-27 01:16:29,142] [ERROR] GET /download/image/does_not_exist.png → 500: Error downloading image.
[2025-07-27 01:16:29,187] [ERROR] ❌ Unexpected error downloading file 'log': 404: File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:16:29,188] [ERROR] GET /download/log → 500: Error downloading file.
[2025-07-27 01:24:33,546] [ERROR] ❌ File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:24:33,546] [ERROR] GET /download/log → 404: Requested file not found.
[2025-07-27 01:24:33,909] [ERROR] ❌ Image not found: C:\Users\user\Documents\fastapi_project\uploads\images\does_not_exist.png
[2025-07-27 01:24:33,909] [ERROR] GET /download/image/does_not_exist.png → 404: Image not found.
[2025-07-27 01:24:33,957] [ERROR] ❌ File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:24:33,957] [ERROR] GET /download/log → 404: Requested file not found.
[2025-07-27 01:25:46,331] [ERROR] ❌ File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:25:46,332] [ERROR] GET /download/log → 404: Requested file not found.
